index,seq_number,content_encripted,high_security,n_forwards,destination,timestamp_sent,timestamp_received,latency,l_1,l_2
0,1,a0xlyt3x0j5,false,1,192.168.1.114,1623413105519,1623413105529,10,10,
1,0,71846F8DA3170001,true,3,192.168.1.112,1623413105495,1623413105533,38,,38
2,2,4AE4A6C6EFC70000,true,3,192.168.1.112,1623413105536,1623413105551,15,,15
3,4,v6wvs0xtkrs,false,1,192.168.1.114,1623413105566,1623413105569,3,3,
4,3,08444F0F1C660000,true,3,192.168.1.112,1623413105554,1623413105571,17,,17
5,5,dhzum3bngrd,false,1,192.168.1.114,1623413105576,1623413105579,3,3,
6,6,cspd5owrekb,false,1,192.168.1.114,1623413105588,1623413105591,3,3,
7,7,9o2fdhg6b5b,false,1,192.168.1.114,1623413105599,1623413105602,3,3,
8,9,2wbhfzkmuhw,false,1,192.168.1.114,1623413105628,1623413105631,3,3,
9,8,63A9776793BC0001,true,3,192.168.1.112,1623413105617,1623413105632,15,,15
10,10,3ze4ignwrxh,false,1,192.168.1.114,1623413105638,1623413105641,3,3,
11,12,bs7k03peq6k,false,1,192.168.1.114,1623413105665,1623413105668,3,3,
12,11,C9F9034E54330001,true,3,192.168.1.112,1623413105653,1623413105671,18,,18
13,13,akx0wtnwsjf,false,1,192.168.1.114,1623413105675,1623413105678,3,3,
14,14,yeeswso2bw7,false,1,192.168.1.114,1623413105686,1623413105689,3,3,
15,15,4E934707E3A30001,true,3,192.168.1.112,1623413105705,1623413105721,16,,16
16,16,4085B2C02CCF0001,true,3,192.168.1.112,1623413105720,1623413105735,15,,15
17,17,81646F0E8E440000,true,3,192.168.1.112,1623413105737,1623413105754,17,,17
18,18,CE0D654E139E0001,true,3,192.168.1.112,1623413105753,1623413105769,16,,16
19,20,q6w18cioemc,false,1,192.168.1.114,1623413105777,1623413105780,3,3,
20,19,09714F4B61D00000,true,3,192.168.1.112,1623413105767,1623413105783,16,,16
21,21,q0eoq5c8omm,false,1,192.168.1.114,1623413105787,1623413105790,3,3,
22,22,ra2q2lggice,false,1,192.168.1.114,1623413105799,1623413105802,3,3,
23,24,000bpgtipcbowd,false,1,192.168.1.114,1623413105835,1623413105838,3,3,
24,23,568C944CE2B80001,true,3,192.168.1.112,1623413105824,1623413105839,15,,15
25,25,x3xpaef4p2,false,1,192.168.1.114,1623413105846,1623413105849,3,3,
26,26,8329770143450000,true,3,192.168.1.112,1623413105861,1623413105878,17,,17
